mode,value,lift_indices,lift_slacks
1133,349746157/25000000,377;20060;39743,0;31376627/25000000;93749613/100000000
1136,583801051/100000000,378;20061;39744,0;376963/781250;5486019/50000000
1139,589186399/100000000,379;20062;39745,3488297/50000000;0;23399359/50000000
1142,72187471/20000000,380;20063;39746,0;17182657/50000000;88337/1000000
1145,714532763/100000000,381;20064;39747,0;779497/6250000;64988361/100000000
1148,214202923/100000000,382;20065;39748,0;12120311/50000000;7178081/25000000
1151,1005572741/100000000,383;20066;39749,0;67709097/100000000;230932193/100000000
1154,713495557/25000000,384;20067;39750,0;767426099/100000000;1309727/800000
1157,175650861/100000000,385;20068;39751,37581157/100000000;0;809091/6250000
1160,1007533353/100000000,386;20069;39752,86895049/100000000;35493429/50000000;0
1163,448886023/100000000,387;20070;39753,0;3950781/100000000;3321659/50000000
1166,43485531/20000000,388;20071;39754,23777793/100000000;7338991/100000000;0
1169,83931069/25000000,389;20072;39755,0;68408247/100000000;2046493/4000000
1172,14122161/3125000,390;20073;39756,0;17470997/25000000;1346229/3125000
1175,74749379/50000000,391;20074;39757,0;4453959/50000000;13017649/50000000
1178,996158239/100000000,392;20075;39758,0;198057/1250000;1165477/2000000
1181,860957673/100000000,393;20076;39759,90611697/100000000;0;26173207/20000000
1184,39863173/20000000,394;20077;39760,27342201/100000000;0;4133819/50000000
1187,730506137/100000000,395;20078;39761,0;10257843/100000000;100839/500000
1190,573624769/100000000,396;20079;39762,22160381/20000000;15295373/25000000;0
1193,256673861/100000000,397;20080;39763,0;13783107/50000000;9774169/50000000
1196,446353389/100000000,398;20081;39764,0;1172509/100000000;27475771/50000000
1199,443375057/100000000,399;20082;39765,0;2537437/25000000;3296/390625
1202,30656893/20000000,400;20083;39766,0;5538161/100000000;13008521/100000000
1205,498203171/50000000,401;20084;39767,99604221/100000000;91857571/100000000;0
1208,174421677/12500000,402;20085;39768,90649981/50000000;0;23816531/20000000
1211,141029959/50000000,403;20086;39769,91667479/100000000;27011491/100000000;0
1214,128104301/12500000,404;20087;39770,63177783/50000000;0;30503367/20000000
1217,813048469/100000000,405;20088;39771,0;3447097/2500000;10254289/100000000
1220,26737317/6250000,406;20089;39772,5801237/12500000;0;29357757/50000000
1223,563634257/100000000,407;20090;39773,39121543/100000000;0;9199849/50000000
1226,267647791/50000000,408;20091;39774,0;8542531/50000000;384451/625000
1229,33028469/10000000,409;20092;39775,268143/3125000;2593961/100000000;0
1232,743925281/100000000,410;20093;39776,10016393/25000000;0;78474281/100000000
1235,326585567/25000000,411;20094;39777,156861133/50000000;204926737/100000000;0
1238,149091821/100000000,412;20095;39778,529309/12500000;1844301/20000000;0
1241,505381691/50000000,413;20096;39779,16232539/100000000;0;11185771/100000000
1244,8550529/2000000,414;20097;39780,162522/390625;10896099/25000000;0
1247,53453929/25000000,415;20098;39781,11583001/100000000;0;154671/400000
1250,213144401/50000000,416;20099;39782,60899989/100000000;3984187/10000000;0
1253,774716603/100000000,417;20100;39783,0;12060097/50000000;132847613/100000000
1256,226043647/50000000,418;20101;39784,10917469/12500000;0;140203107/100000000
1259,321040571/50000000,419;20102;39785,0;4223501/20000000;16099089/100000000
1262,808708029/100000000,420;20103;39786,0;25519933/25000000;19115753/50000000
1265,18005187/12500000,421;20104;39787,8549511/100000000;0;2073817/50000000
1268,113877649/25000000,422;20105;39788,25088233/50000000;0;15829349/50000000
1271,114345379/12500000,423;20106;39789,0;314269/6250000;28657803/100000000
1274,61893033/12500000,424;20107;39790,12300867/12500000;22412581/100000000;0
1277,102904219/25000000,425;20108;39791,0;15466247/50000000;5272791/20000000
1280,530475903/100000000,426;20109;39792,0;16869881/100000000;16748247/25000000
1283,161106543/100000000,427;20110;39793,3012549/10000000;828889/2500000;0
1286,873319319/100000000,428;20111;39794,664519/12500000;0;14632461/100000000
1289,33617693/4000000,429;20112;39795,11062777/12500000;0;95831427/100000000
1292,181128403/100000000,430;20113;39796,2653931/20000000;9440641/50000000;0
1295,75406227/10000000,431;20114;39797,0;10688869/50000000;6406719/25000000
1298,66040893/12500000,432;20115;39798,26666059/50000000;390541/625000;0
1301,188788963/50000000,433;20116;39799,0;139473/3125000;2269173/12500000
1304,93171069/25000000,434;20117;39800,11172363/50000000;869003/10000000;0
1307,137749711/25000000,435;20118;39801,0;6016831/20000000;49165693/100000000
1310,378168497/100000000,436;20119;39802,181507/781250;0;5233513/20000000
1313,113946123/20000000,437;20120;39803,0;2685707/4000000;15120361/50000000
1316,147122773/12500000,438;20121;39804,980459/20000000;75588359/100000000;0
1319,38628221/25000000,439;20122;39805,597953/10000000;20419329/100000000;0
1322,498545843/25000000,440;20123;39806,203107859/50000000;0;113636223/50000000
1325,82314283/12500000,441;20124;39807,0;143505101/100000000;37714053/100000000
1328,241128693/100000000,442;20125;39808,10121821/100000000;0;1428817/50000000
1331,295230543/100000000,443;20126;39809,2942847/100000000;12949247/50000000;0
1334,311969183/50000000,444;20127;39810,0;15093063/100000000;9060859/50000000
1337,136639441/50000000,445;20128;39811,29987249/100000000;0;514807/4000000
1340,907999273/100000000,446;20129;39812,8426567/50000000;26753923/50000000;0
1343,681265869/100000000,447;20130;39813,0;1524749/3125000;1052261/25000000
1346,15786487/6250000,448;20131;39814,0;1945519/12500000;18007287/50000000
1349,128587507/25000000,449;20132;39815,9385553/25000000;43009359/100000000;0
1352,6862951/800000,450;20133;39816,0;19811067/100000000;53001661/100000000
1355,4814227/2000000,451;20134;39817,93767/10000000;3326567/25000000;0
1358,416348633/100000000,452;20135;39818,1540063/25000000;1595967/100000000;0
1361,108379/25000,453;20136;39819,22755841/100000000;0;4050177/12500000
1364,19548221/12500000,454;20137;39820,0;2753741/100000000;2969257/100000000
1367,2661635371/100000000,455;20138;39821,47034527/6250000;0;75447229/50000000
1370,594436131/50000000,456;20139;39822,7108313/4000000;7721259/4000000;0
1373,22543541/20000000,457;20140;39823,6706933/50000000;739367/5000000;0
1376,1205119/50000,458;20141;39824,66305503/20000000;16683283/3125000;0
1379,1304812571/100000000,459;20142;39825,500007/5000000;0;206048197/100000000
1382,532509721/100000000,460;20143;39826,125263483/100000000;6493181/50000000;0
1385,192102013/50000000,461;20144;39827,0;27454429/100000000;4156379/20000000
1388,197923387/50000000,462;20145;39828,2123737/25000000;0;5181053/50000000
1391,11255673/6250000,463;20146;39829,719683/25000000;10762643/100000000;0
1394,128986091/20000000,464;20147;39830,2235731/20000000;0;2108657/6250000
1397,1393777293/100000000,465;20148;39831,0;78136509/100000000;121508907/50000000
1400,138530469/100000000,466;20149;39832,3483341/100000000;32963/5000000;0
1403,97214853/5000000,467;20150;39833,1241121/3125000;0;215584793/100000000
1406,3249177/625000,468;20151;39834,6791603/100000000;0;2236257/20000000
1409,8530659/3125000,469;20152;39835,1806133/25000000;21135653/50000000;0
1412,268982711/100000000,470;20153;39836,0;12918667/100000000;80121/390625
1415,192396871/50000000,471;20154;39837,20907149/100000000;0;3674011/100000000
1418,174652199/100000000,472;20155;39838,8135123/50000000;13230983/100000000;0
1421,1139304891/100000000,473;20156;39839,32193281/100000000;5195647/12500000;0
1424,923211007/100000000,474;20157;39840,17254789/100000000;0;1908559/20000000
1427,41537873/20000000,475;20158;39841,7564229/50000000;0;1150939/4000000
1430,100477751/20000000,476;20159;39842,0;19588709/25000000;20412187/100000000
1433,235222387/25000000,477;20160;39843,0;85757079/100000000;10796137/10000000
1436,17234719/6250000,478;20161;39844,0;5953951/100000000;14056719/100000000
1439,336596157/100000000,479;20162;39845,0;605139/50000000;5873977/20000000
1442,441174091/100000000,480;20163;39846,39552061/100000000;8311589/20000000;0
1445,4943437/2500000,481;20164;39847,36606709/100000000;580491/100000000;0
1448,81110723/6250000,482;20165;39848,0;24808451/20000000;1222317/1250000
1451,252710793/25000000,483;20166;39849,13090521/10000000;0;86436679/50000000
1454,139440157/100000000,484;20167;39850,843403/100000000;0;712063/100000000
1457,322049649/12500000,485;20168;39851,0;133826061/100000000;115249667/100000000
1460,14610207/1562500,486;20169;39852,116555313/100000000;0;9912839/20000000
1463,353973793/100000000,487;20170;39853,529807/1000000;0;574467/6250000
1466,24344269/4000000,488;20171;39854,26910221/100000000;9530107/50000000;0
1469,27879443/6250000,489;20172;39855,194073/100000000;4934061/20000000;0
1472,126479767/50000000,490;20173;39856,0;44254381/100000000;4630411/50000000
1475,136355911/20000000,491;20174;39857,50819423/50000000;0;25060993/50000000
1478,892117457/100000000,492;20175;39858,10381901/20000000;80782181/100000000;0
1481,41203579/20000000,493;20176;39859,569037/20000000;0;27544711/100000000
1484,152289531/12500000,494;20177;39860,90158329/50000000;3686741/25000000;0
1487,231071507/25000000,495;20178;39861,2027957/6250000;58885933/100000000;0
1490,48867321/25000000,496;20179;39862,3300637/50000000;4421961/50000000;0
1493,141269427/50000000,497;20180;39863,0;10742439/50000000;813591/10000000
1496,263903659/50000000,498;20181;39864,0;24840121/50000000;39275083/50000000
1499,9642537/4000000,499;20182;39865,891039/50000000;20592879/50000000;0
1502,192520769/25000000,500;20183;39866,0;10956953/50000000;20509087/25000000
1505,446370733/50000000,501;20184;39867,782737/4000000;0;108053403/100000000
1508,4636879/3125000,502;20185;39868,2884187/100000000;0;13579583/100000000
1511,11342521/3125000,503;20186;39869,13380769/100000000;0;13436513/100000000
1514,18751073/3125000,504;20187;39870,31195659/50000000;0;10977493/25000000
1517,44833581/12500000,505;20188;39871,0;16604151/50000000;10016887/50000000
1520,463728139/100000000,506;20189;39872,51900917/100000000;787753/6250000;0
1523,116482159/25000000,507;20190;39873,0;24354873/100000000;13827869/25000000
1526,126199733/100000000,508;20191;39874,2922453/100000000;0;5190239/50000000
1529,538428841/50000000,509;20192;39875,36094799/100000000;0;29652257/50000000
1532,164580967/25000000,510;20193;39876,16537249/25000000;52407473/50000000;0
1535,220353099/100000000,511;20194;39877,23106393/50000000;5057111/50000000;0
1538,950135317/100000000,512;20195;39878,124877933/100000000;0;13454769/25000000
1541,496974433/100000000,513;20196;39879,16871761/50000000;1054791/50000000;0
1544,75739623/25000000,514;20197;39880,30109721/100000000;0;57539447/100000000
1547,676207339/100000000,515;20198;39881,6583803/100000000;57215593/100000000;0
1550,456582477/100000000,516;20199;39882,0;678143/2000000;35194977/100000000
1553,55148427/12500000,517;20200;39883,6087531/100000000;0;883423/2500000
1556,79730027/10000000,518;20201;39884,152186673/100000000;9161923/100000000;0
1559,846953717/100000000,519;20202;39885,0;318071/1000000;23881451/100000000
1562,34880781/20000000,520;20203;39886,1095763/50000000;1901117/100000000;0
1565,2125979879/100000000,521;20204;39887,45025281/20000000;0;490051921/100000000
1568,416838011/100000000,522;20205;39888,0;14475937/100000000;31124517/100000000
1571,137246199/50000000,523;20206;39889,0;826473/20000000;38059349/100000000
1574,2760283/781250,524;20207;39890,10903813/20000000;0;8914641/25000000
1577,194815271/50000000,525;20208;39891,0;48584591/100000000;10761369/50000000
1580,20882891/10000000,526;20209;39892,159003/4000000;0;42453/1562500
1583,83314547/10000000,527;20210;39893,0;43767597/50000000;1834989/2500000
1586,673832597/100000000,528;20211;39894,19481181/100000000;0;19842019/50000000
1589,37462781/10000000,529;20212;39895,12764727/100000000;7550819/10000000;0
1592,3977781/625000,530;20213;39896,11708403/100000000;0;3780637/20000000
1595,647225807/50000000,531;20214;39897,1535913/50000000;66030563/100000000;0
1598,191371209/100000000,532;20215;39898,11098523/50000000;0;154984/390625
1601,78093721/12500000,533;20216;39899,190708967/100000000;0;5367063/10000000
1604,412117019/100000000,534;20217;39900,0;45850103/100000000;36342123/50000000
1607,162177689/100000000,535;20218;39901,8236501/50000000;1385201/20000000;0
1610,354418189/20000000,536;20219;39902,0;2002773/500000;89489409/100000000
1613,571625943/50000000,537;20220;39903,117409201/50000000;0;92988929/100000000
1616,112403173/100000000,538;20221;39904,0;2051717/100000000;96339/2000000
1619,2212452987/50000000,539;20222;39905,0;118620107/50000000;1424483647/100000000
1622,168844861/20000000,540;20223;39906,8184127/12500000;0;1230009/20000000
1625,770617681/100000000,541;20224;39907,5754293/10000000;97503377/50000000;0
1628,583446037/100000000,542;20225;39908,128869693/100000000;3911489/25000000;0
1631,476321201/100000000,543;20226;39909,0;15209369/50000000;35808273/100000000
1634,51275357/12500000,544;20227;39910,14637799/100000000;0;23278739/25000000
1637,198596169/25000000,545;20228;39911,17352483/25000000;0;154216173/100000000
1640,782893333/20000000,546;20229;39912,0;1403826443/100000000;330499679/50000000
1643,12762727/10000000,547;20230;39913,0;13105037/100000000;811211/12500000
1646,1614080641/100000000,548;20231;39914,6638467/6250000;0;90074993/100000000
1649,462280687/100000000,549;20232;39915,15868433/100000000;8052839/20000000;0
1652,234384801/100000000,550;20233;39916,0;5965319/100000000;185713/800000
1655,363725499/100000000,551;20234;39917,16640377/25000000;0;10518773/50000000
1658,242940541/50000000,552;20235;39918,0;51878633/100000000;25712221/50000000
1661,76082927/50000000,553;20236;39919,1658921/25000000;0;2722579/25000000
1664,1319862637/100000000,554;20237;39920,47808633/100000000;0;263129/4000000
1667,21434371/3125000,555;20238;39921,21777523/100000000;0;49725331/100000000
1670,89343167/50000000,556;20239;39922,7303313/25000000;10511/1250000;0
1673,60400967/10000000,557;20240;39923,5333051/12500000;61482703/100000000;0
1676,371266249/50000000,558;20241;39924,30780323/50000000;0;26229911/100000000
1679,114882789/25000000,559;20242;39925,0;195763/1562500;234411/4000000
1682,483501217/100000000,560;20243;39926,30856789/50000000;33085571/100000000;0
1685,239347321/50000000,561;20244;39927,19783947/50000000;0;28899163/100000000
1688,116838317/100000000,562;20245;39928,2262881/50000000;3129437/50000000;0
1691,598593061/50000000,563;20246;39929,71141759/100000000;0;48765837/25000000
1694,1037741023/100000000,564;20247;39930,45631429/20000000;14409931/20000000;0
1697,5705143/3125000,565;20248;39931,2920557/25000000;33041/1250000;0
1700,1012155141/50000000,566;20249;39932,0;141424933/50000000;34611593/100000000
1703,671933343/100000000,567;20250;39933,21336177/25000000;11487959/50000000;0
1706,216165223/50000000,568;20251;39934,0;139473/3125000;784661/50000000
1709,886602973/100000000,569;20252;39935,8697237/25000000;0;118200063/100000000
1712,263999971/50000000,570;20253;39936,38589553/100000000;13728077/50000000;0
1715,114272843/50000000,571;20254;39937,0;2530203/12500000;5690671/100000000
1718,15089187/1562500,572;20255;39938,84318159/100000000;0;3212021/12500000
1721,60201427/4000000,573;20256;39939,9329247/25000000;0;246033/156250
1724,130943987/100000000,574;20257;39940,10010311/100000000;0;476961/100000000
1727,1174484421/100000000,575;20258;39941,280607853/100000000;0;108310547/100000000
1730,479169949/100000000,576;20259;39942,4614467/20000000;13528189/20000000;0
1733,200491393/100000000,577;20260;39943,248623/2500000;0;1643079/10000000
1736,27771833/10000000,578;20261;39944,835767/2500000;2056141/50000000;0
1739,416030033/50000000,579;20262;39945,3502721/20000000;7421/5000000;0
1742,26667093/10000000,580;20263;39946,2946097/25000000;188901/2000000;0
1745,142066831/20000000,581;20264;39947,0;19660343/100000000;8718221/12500000
1748,771557933/100000000,582;20265;39948,1455091/3125000;21534861/50000000;0
1751,13757637/10000000,583;20266;39949,1127779/100000000;0;111113/4000000
1754,116381871/20000000,584;20267;39950,0;2571331/10000000;32080233/50000000
1757,268059403/25000000,585;20268;39951,0;7619823/12500000;40061507/20000000
1760,560783131/100000000,586;20269;39952,4215649/25000000;4930701/100000000;0
1763,307049369/100000000,587;20270;39953,30997099/100000000;7755793/100000000;0
1766,66137387/10000000,588;20271;39954,2178379/100000000;0;16746161/50000000
