phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,7130,4753,9506,10,7301120,7300608,7644,5965,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7238,4825,9650,8,1852928,1852800,659,522,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7238,4825,9650,9,3705856,3705600,1390,1158,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7238,4825,9650,10,7411712,7411200,2738,2282,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7346,4897,9794,8,1880576,1880448,1116,956,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7346,4897,9794,9,3761152,3760896,2182,1830,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7346,4897,9794,10,7522304,7521792,4583,3857,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7454,4969,9938,8,1908224,1908096,1135,935,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7454,4969,9938,9,3816448,3816192,2181,1804,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7454,4969,9938,10,7632896,7632384,4369,3661,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7562,5041,10082,8,1935872,1935744,1184,1063,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7562,5041,10082,9,3871744,3871488,2402,2176,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7562,5041,10082,10,7743488,7742976,4655,4243,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7670,5113,10226,8,1963520,1963392,1866,1561,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7670,5113,10226,9,3927040,3926784,3915,3318,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7670,5113,10226,10,7854080,7853568,7543,6485,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7778,5185,10370,8,1991168,1991040,2215,1832,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7778,5185,10370,9,3982336,3982080,4329,3622,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7778,5185,10370,10,7964672,7964160,8744,7462,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7886,5257,10514,8,2018816,2018688,1160,877,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7886,5257,10514,9,4037632,4037376,2204,1675,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7886,5257,10514,10,8075264,8074752,4238,3143,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7994,5329,10658,8,2046464,2046336,1830,1231,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7994,5329,10658,9,4092928,4092672,3369,2306,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7994,5329,10658,10,8185856,8185344,6594,4603,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8102,5401,10802,8,2074112,2073984,1057,805,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8102,5401,10802,9,4148224,4147968,2018,1553,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8102,5401,10802,10,8296448,8295936,3905,3096,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8210,5473,10946,8,2101760,2101632,1146,1032,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8210,5473,10946,9,4203520,4203264,2161,1942,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,8210,5473,10946,10,8407040,8406528,4313,3814,True,True,True,True,True,True,True,True
