phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,29,1,1,173,115,230,9,88576,88320,3408,385,True,True,True,True,True,True,True,True
calibration,36,2,29,1,1,173,115,230,10,177152,176640,7071,767,True,True,True,True,True,True,True,True
calibration,36,2,29,1,2,281,187,374,8,71936,71808,1135,189,True,True,True,True,True,True,True,True
calibration,36,2,29,1,2,281,187,374,9,143872,143616,2274,328,True,True,True,True,True,True,True,True
calibration,36,2,29,1,2,281,187,374,10,287744,287232,4698,665,True,True,True,True,True,True,True,True
calibration,36,2,29,1,3,389,259,518,8,99584,99456,806,270,True,True,True,True,True,True,True,True
calibration,36,2,29,1,3,389,259,518,9,199168,198912,1775,537,True,True,True,True,True,True,True,True
calibration,36,2,29,1,3,389,259,518,10,398336,397824,3465,1015,True,True,True,True,True,True,True,True
calibration,36,2,29,1,4,497,331,662,8,127232,127104,931,500,True,True,True,True,True,True,True,True
calibration,36,2,29,1,4,497,331,662,9,254464,254208,1793,979,True,True,True,True,True,True,True,True
calibration,36,2,29,1,4,497,331,662,10,508928,508416,3960,1901,True,True,True,True,True,True,True,True
calibration,36,2,29,1,5,605,403,806,8,154880,154752,1464,207,True,True,True,True,True,True,True,True
calibration,36,2,29,1,5,605,403,806,9,309760,309504,2922,377,True,True,True,True,True,True,True,True
calibration,36,2,29,1,5,605,403,806,10,619520,619008,5798,723,True,True,True,True,True,True,True,True
calibration,36,2,29,1,6,713,475,950,8,182528,182400,958,359,True,True,True,True,True,True,True,True
calibration,36,2,29,1,6,713,475,950,9,365056,364800,1784,654,True,True,True,True,True,True,True,True
calibration,36,2,29,1,6,713,475,950,10,730112,729600,3906,1594,True,True,True,True,True,True,True,True
calibration,36,2,29,1,7,821,547,1094,8,210176,210048,948,368,True,True,True,True,True,True,True,True
calibration,36,2,29,1,7,821,547,1094,9,420352,420096,2044,840,True,True,True,True,True,True,True,True
calibration,36,2,29,1,7,821,547,1094,10,840704,840192,3975,1590,True,True,True,True,True,True,True,True
calibration,36,2,29,2,0,101,67,134,8,25856,25728,1805,1043,True,True,True,True,True,True,True,True
calibration,36,2,29,2,0,101,67,134,9,51712,51456,4103,2574,True,True,True,True,True,True,True,True
