core_local_id,state_id,state,residue_mod_9,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
149,449,d5:r149:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
150,456,d5:r152:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
151,457,d5:r152:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
152,458,d5:r152:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
153,465,d5:r155:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
154,466,d5:r155:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
155,467,d5:r155:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
156,474,d5:r158:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
157,475,d5:r158:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
158,476,d5:r158:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
159,483,d5:r161:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
160,484,d5:r161:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
161,485,d5:r161:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
162,492,d5:r164:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
163,493,d5:r164:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
164,494,d5:r164:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
165,501,d5:r167:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
166,502,d5:r167:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
167,503,d5:r167:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
168,510,d5:r170:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
169,511,d5:r170:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
170,512,d5:r170:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
171,519,d5:r173:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
172,520,d5:r173:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
173,521,d5:r173:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
174,528,d5:r176:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
175,529,d5:r176:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
176,530,d5:r176:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
177,537,d5:r179:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
178,538,d5:r179:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
